MEMark,FEMark
0.9375,0.801724138
0.972222222,0.517241379
0.951388889,0.862068966
0.777777778,0.543103448
0.472222222,0.163793103
0.576388889,0.413793103
0.979166667,1
0.777777778,0.836206897
0.736111111,0.362068966
0.805555556,0.913793103
0.944444444,0.844827586
0.888888889,0.715517241
0.381944444,0.517241379
1,0.715517241
0.993055556,0.75
0.729166667,0.456896552
0.722222222,0.474137931
0.819444444,0.775862069
0.875,0.913793103
0.861111111,0.642241379
0.819444444,0.719827586
0.895833333,0.698275862
0.791666667,0.577586207
0.958333333,0.974137931
0.347222222,0.603448276
0.555555556,0.310344828
0.569444444,0.353448276
0.555555556,0.456896552
0.868055556,0.603448276
0.6875,0.655172414
0.708333333,0.681034483
0.805555556,0.49137931
0.944444444,0.956896552
